username,rating,review,date,thumbs_up,sentiment
Bung Tonang,1,bintang yang cocok.,2025-12-08,0,negatif
Thio,1,stress gua tiap pesan gofood ga pernah dapat driver aneh banget jing!! udah 3 jam 2 pesanan belom dapat driver gilakk. otw uninstall!!!,2025-12-08,0,negatif
ricky johan,5,harga dan aplikasi bagus👍👍🔥🔥🙏🙏,2025-12-08,0,positif
MANAGER FF,1,"aplikasi buruk, ga ada cara mengatasi masalah kehilangan data, kinerja buruk, hapus aja aplikasinya, padahal data data udh dikasih, sebagai bukti transaksi hash, perangkat terpercaya, seharusnya dari riwayat nya aplikasi bisa tracking ini beneran pemilik atau perangkat asing, kikir banget",2025-12-08,0,negatif
Endro sasongko,5,Perbaiki dan Tingkatkan,2025-12-08,0,positif
salsabilaaa hiborangg,5,sukaa pelayanan nyaa ramahhh,2025-12-08,0,positif
Prasetyo wae,1,upgrade gojek plus pengene lebih gampang cepet n murah tp bohong. malah lebih mahal,2025-12-08,0,negatif
Edy Juanda,5,kerennn Bagus... driver nya.sllu ramah dan sopan,2025-12-08,0,positif
Carenova Gobel,5,semakin cepat dtngny gak pake lama...jd memudahkan,2025-12-08,0,positif
esarmanto 819,1,aplikasi paya dripr y gak jlas,2025-12-08,2,negatif
Rudi Artawan,3,Loding gopaynya lama bgt.,2025-12-08,0,netral
wahyu aria,1,"bug parah merugikan konsumen tarif 7000 jadi 24000, cs ngga bantu",2025-12-08,0,negatif
Yosefina Bhoki,5,bagus pelayanannya,2025-12-08,0,positif
Redmi Ajja,5,selalu siap kapan pun,2025-12-08,0,positif
Agam Dana,1,"Saya batu mengalami hari ini padahal tidak order tiba"" ada notifikaai pesanan sudah sampai di lokasi tujuan",2025-12-08,0,negatif
Heri Setio,5,Sangat nyaman,2025-12-08,0,positif
Anggie Rasyahiap,5,sejauh ini belum pernah mengalami kendala atau kekecewaan terhadap pelayanannya..semoga semakin meningkat pelayanannya,2025-12-08,0,positif
